gid_0,name_0,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
SEN,Senegal,bws,Ind,3.960326629,27,3,High (40-80%),Africa,Sub-Saharan Africa
GRC,Greece,bws,Ind,3.959727488,28,3,High (40-80%),Europe,Europe & Central Asia
SRB,Serbia,drr,Irr,3.959607635,5,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
BGD,Bangladesh,drr,Tot,3.95454608,3,3,Medium - High (0.6-0.8),Asia,South Asia
UKR,Ukraine,drr,Dom,3.953348325,2,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
SYR,Syria,bws,One,3.953209729,24,3,High (40-80%),Asia,Middle East & North Africa
ERI,Eritrea,bws,Irr,3.952636779,32,3,High (40-80%),Africa,Sub-Saharan Africa
UKR,Ukraine,drr,One,3.95252358,2,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
ERI,Eritrea,bws,Tot,3.942539986,32,3,High (40-80%),Africa,Sub-Saharan Africa
ESP,Spain,bws,Tot,3.940242667,33,3,High (40-80%),Europe,Europe & Central Asia
SEN,Senegal,rfr,Pop,3.931731688,34,3,"High (8 in 1,000 to 1 in 100)",Africa,Sub-Saharan Africa
CHL,Chile,bws,Ind,3.931082576,29,3,High (40-80%),Americas,Latin America & Caribbean
NAM,Namibia,bws,Ind,3.926393738,30,3,High (40-80%),Africa,Sub-Saharan Africa
LBY,Libya,bws,Liv,3.926014677,27,3,High (40-80%),Africa,Middle East & North Africa
UKR,Ukraine,drr,Liv,3.924600895,2,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
GRC,Greece,bws,One,3.913604049,25,3,High (40-80%),Europe,Europe & Central Asia
IRN,Iran,bws,One,3.912139926,26,3,High (40-80%),Asia,Middle East & North Africa
NER,Niger,bws,Dom,3.909961564,28,3,High (40-80%),Africa,Sub-Saharan Africa
ERI,Eritrea,rfr,Pop,3.892682147,35,3,"High (8 in 1,000 to 1 in 100)",Africa,Sub-Saharan Africa
TKM,Turkmenistan,bws,Liv,3.886137093,28,3,High (40-80%),Asia,Europe & Central Asia
DZA,Algeria,bws,Tot,3.873999102,34,3,High (40-80%),Africa,Middle East & North Africa
MAR,Morocco,bws,Ind,3.873703729,31,3,High (40-80%),Africa,Middle East & North Africa
DZA,Algeria,bws,Irr,3.866494959,33,3,High (40-80%),Africa,Middle East & North Africa
BGD,Bangladesh,drr,Liv,3.85250729,3,3,Medium - High (0.6-0.8),Asia,South Asia
SYR,Syria,bws,Ind,3.845847819,32,3,High (40-80%),Asia,Middle East & North Africa
BGD,Bangladesh,drr,Dom,3.83703213,3,3,Medium - High (0.6-0.8),Asia,South Asia
LIE,Liechtenstein,rfr,Pop,3.817457696,36,3,"High (8 in 1,000 to 1 in 100)",Europe,Europe & Central Asia
IND,India,drr,Irr,3.812781895,6,3,Medium - High (0.6-0.8),Asia,South Asia
TZA,Tanzania,rfr,Pop,3.810360245,37,3,"High (8 in 1,000 to 1 in 100)",Africa,Sub-Saharan Africa
PAK,Pakistan,bws,Irr,3.801612369,34,3,High (40-80%),Asia,South Asia
BGD,Bangladesh,drr,Ind,3.801102785,3,3,Medium - High (0.6-0.8),Asia,South Asia
IND,India,drr,Tot,3.800612155,4,3,Medium - High (0.6-0.8),Asia,South Asia
IRQ,Iraq,bws,Dom,3.795092309,29,3,High (40-80%),Asia,Middle East & North Africa
ESP,Spain,bws,Dom,3.79343635,30,3,High (40-80%),Europe,Europe & Central Asia
PAK,Pakistan,bws,Tot,3.790570063,35,3,High (40-80%),Asia,South Asia
SRB,Serbia,drr,Dom,3.78946007,4,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
NPL,Nepal,rfr,Pop,3.78238305,38,3,"High (8 in 1,000 to 1 in 100)",Asia,South Asia
IND,India,bws,Liv,3.779363749,29,3,High (40-80%),Asia,South Asia
HTI,Haiti,drr,Liv,3.77484016,4,3,Medium - High (0.6-0.8),Americas,Latin America & Caribbean
IND,India,bws,Dom,3.773850233,31,3,High (40-80%),Asia,South Asia
ZAF,South Africa,bws,Ind,3.771043075,33,3,High (40-80%),Africa,Sub-Saharan Africa
SRB,Serbia,drr,Tot,3.7623111,5,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
SRB,Serbia,drr,Ind,3.757252265,4,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
TKM,Turkmenistan,bws,Irr,3.751803818,35,3,High (40-80%),Asia,Europe & Central Asia
