gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
GTM,Guatemala,2080,pes,bws,One,1.51901155820577,100,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
SVK,Slovakia,2030,pes,bws,Irr,1.51860098207734,101,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MWI,Malawi,2080,bau,bws,Ind,1.51739086886705,116,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
URY,Uruguay,2050,bau,bws,Ind,1.51664937208991,105,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
FIN,Finland,2050,opt,bws,Tot,1.51659290815739,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
URY,Uruguay,2080,pes,bws,Irr,1.51646025404906,114,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
PHL,Philippines,2030,opt,bws,One,1.5164462637534,86,1,Low - Medium (10-20%),Asia,East Asia & Pacific
FIN,Finland,2050,pes,bws,Dom,1.51536679520433,103,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SOM,Somalia,2080,opt,bws,Tot,1.51431252783696,110,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
URY,Uruguay,2080,pes,bws,Tot,1.51428581010178,115,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
RWA,Rwanda,2080,pes,bws,Dom,1.51394461456331,110,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
NGA,Nigeria,2050,bau,bws,Tot,1.51382955964999,107,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2030,pes,bws,Irr,1.51374335361981,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
HTI,Haiti,2050,pes,bws,One,1.51339472975749,90,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
TCD,Chad,2050,bau,bws,Irr,1.51334819553936,109,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
MWI,Malawi,2030,bau,bws,Irr,1.51311059042538,103,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
KEN,Kenya,2050,opt,bws,Dom,1.51306083607527,101,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
VNM,Vietnam,2080,opt,bws,Liv,1.51284536715443,95,1,Low - Medium (10-20%),Asia,East Asia & Pacific
GBR,United Kingdom,2030,bau,bws,Tot,1.51221082320283,99,1,Low - Medium (10-20%),Europe,Europe & Central Asia
RUS,Russia,2080,pes,bws,Tot,1.51217140667988,116,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2030,bau,bws,Ind,1.51180077299347,96,1,Low - Medium (10-20%),Europe,Europe & Central Asia
NLD,Netherlands,2050,bau,bws,Liv,1.51108124906918,94,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MDA,Moldova,2080,pes,bws,Dom,1.51005236539673,111,1,Low - Medium (10-20%),Europe,Europe & Central Asia
RUS,Russia,2050,pes,bws,Dom,1.5099513334893,104,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2050,bau,bws,Liv,1.50953971675046,95,1,Low - Medium (10-20%),Europe,Europe & Central Asia
LTU,Lithuania,2050,opt,bws,Irr,1.50893919223424,103,1,Low - Medium (10-20%),Europe,Europe & Central Asia
